Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,1,1,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,1,1,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,2,2,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,2,2,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,Go,3,3,20:00,0:00,20:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,Go,3,3,20:00,3:36,16:24
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,18,3,3:34,0:00,3:34
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,17,2,5:22,3:12,2:10
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,22,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,21,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,20,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,20,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,24,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,24,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,25,3,2:03,0:00,2:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,14,2,7:19,5:29,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,14,2,5:22,3:32,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,13,2,5:22,3:32,1:50
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,19,3,3:50,2:03,1:47
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,7,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,7,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,6,1,1:46,0:00,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,23,3,2:26,0:40,1:46
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,16,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,14,8,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,10,11,2,1:42,0:00,1:42
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,11,2,5:22,3:43,1:39
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,21,3,11:39,10:02,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,19,3,11:39,10:02,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,15,3,10:15,8:38,1:37
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,16,2,3:41,2:07,1:34
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,10,2,4:22,2:49,1:33
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,9,2,1:32,0:00,1:32
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,13,2,6:58,5:27,1:31
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,1,1,20:00,18:30,1:30
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,14,2,8:09,6:39,1:30
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,24,3,3:59,2:30,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,19,3,17:34,16:05,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,17,3,17:34,16:05,1:29
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,7,2,15:05,13:37,1:28
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,1,1,20:00,18:33,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,25,3,1:27,0:00,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,17,3,10:19,8:52,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,15,3,10:19,8:52,1:27
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,6,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,7,1,4:26,3:00,1:26
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,1,1,20:00,18:35,1:25
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,12,3,11:39,10:15,1:24
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,11,2,5:40,4:16,1:24
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,15,2,8:09,6:46,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,11,2,2:55,1:32,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,22,3,15:06,13:43,1:23
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,1,1,20:00,18:38,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,13,2,15:05,13:43,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,13,2,15:05,13:43,1:22
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,10,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,9,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,8,2,17:47,16:26,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,9,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,10,2,16:26,15:05,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,13,2,8:32,7:11,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,2,1,15:58,14:37,1:21
10/25/2024,2024-10-25 - Team H at Team G,Team H,28,15,3,11:39,10:19,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,15,3,11:39,10:19,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,26,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,26,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,22,3,3:46,2:26,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,24,3,3:34,2:14,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,11,2,11:53,10:33,1:20
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,4,1,5:57,4:38,1:19
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,10,2,14:46,13:27,1:19
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,3,1,8:54,7:36,1:18
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,18,3,9:30,8:13,1:17
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,21,3,9:30,8:13,1:17
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,18,3,5:07,3:50,1:17
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,14,2,3:16,1:59,1:17
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,8,2,6:38,5:22,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,13,2,6:38,5:22,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,18,2,6:38,5:22,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,18,2,6:38,5:22,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,21,3,4:50,3:34,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,4,1,8:54,7:38,1:16
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,1,1,20:00,18:45,1:15
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,20,3,9:12,7:57,1:15
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,8,1,5:57,4:42,1:15
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,5,1,5:56,4:42,1:14
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,6,1,3:00,1:46,1:14
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,23,3,5:07,3:53,1:14
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,4,1,8:51,7:38,1:13
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,13,2,11:26,10:13,1:13
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,16,2,4:29,3:16,1:13
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,8,2,19:27,18:14,1:13
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,23,3,3:15,2:03,1:12
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,21,3,8:52,7:41,1:11
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,21,3,8:52,7:41,1:11
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,10,2,14:38,13:27,1:11
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,13,2,8:09,6:58,1:11
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,15,2,1:10,0:00,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,6,1,1:46,0:36,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,10,2,13:27,12:17,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,10,2,19:24,18:14,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,11,2,14:37,13:27,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,20,3,10:58,9:48,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,24,3,10:02,8:52,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,24,3,10:02,8:52,1:10
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,16,3,19:28,18:19,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,17,3,19:21,18:12,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team G,59,4,1,8:57,7:48,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,7,1,5:52,4:43,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,21,3,3:34,2:25,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,20,3,3:34,2:25,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,19,3,3:34,2:25,1:09
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,1,1,18:30,17:22,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,28,7,2,15:05,13:57,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,7,2,15:05,13:57,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,15,3,17:11,16:03,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,16,3,17:08,16:00,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,2,1,14:30,13:22,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,11,2,12:17,11:09,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,11,2,12:17,11:09,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,15,2,5:22,4:14,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,16,2,5:22,4:14,1:08
10/25/2024,2024-10-25 - Team H at Team G,Team H,28,12,2,2:49,1:42,1:07
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,18,3,5:53,4:46,1:07
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,20,3,5:53,4:46,1:07
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,5,1,5:44,4:38,1:06
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,8,1,5:44,4:38,1:06
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,15,2,6:46,5:40,1:06
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,2,1,15:30,14:25,1:05
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,18,3,15:21,14:16,1:05
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,16,3,10:58,9:53,1:05
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,3,1,11:42,10:38,1:04
10/25/2024,2024-10-25 - Team H at Team G,Team G,4,9,1,5:52,4:48,1:04
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,23,3,10:58,9:54,1:04
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,10,2,16:26,15:22,1:04
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,6,1,4:03,3:00,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,6,1,4:03,3:00,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,7,1,4:03,3:00,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,7,1,4:03,3:00,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,20,3,10:58,9:55,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,22,3,5:53,4:50,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,2,1,16:29,15:26,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,14,3,1,9:57,8:54,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,15,3,17:08,16:05,1:03
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,18,3,19:21,18:19,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,19,3,19:21,18:19,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,19,3,19:21,18:19,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,5,1,9:59,8:57,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,8,1,1:46,0:44,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,8,1,1:38,0:36,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,10,2,14:55,13:53,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,12,2,13:19,12:17,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,11,2,13:19,12:17,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,11,2,13:19,12:17,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,15,3,13:16,12:14,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,11,2,9:57,8:55,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,11,2,9:57,8:55,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,10,2,9:57,8:55,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,18,3,14:18,13:16,1:02
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,2,1,15:25,14:24,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,9,1,1:46,0:45,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,9,1,1:46,0:45,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,15,2,1:01,0:00,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team H,12,2,1,15:31,14:30,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,3,1,14:37,13:36,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,8,2,19:20,18:19,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,8,2,19:20,18:19,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,8,2,19:20,18:19,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,7,1,5:44,4:43,1:01
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,14,2,5:29,4:29,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,18,13,2,5:22,4:22,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,1,1,18:03,17:03,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,5,1,10:38,9:38,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,5,1,10:38,9:38,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,18,3,14:16,13:16,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,20,3,14:16,13:16,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,19,3,14:16,13:16,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,12,2,12:17,11:17,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,56,7,2,2:07,1:07,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team G,17,2,1,9:52,8:52,1:00
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,13,3,16:05,15:06,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,18,3,16:05,15:06,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team H,4,18,3,16:05,15:06,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,21,3,7:25,6:26,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,14,2,5:27,4:28,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,2,1,16:29,15:30,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,3,1,14:43,13:44,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,3,1,14:43,13:44,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,19,3,16:20,15:21,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,84,17,3,16:20,15:21,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,18,3,16:20,15:21,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,11,2,12:17,11:18,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,63,20,3,9:12,8:13,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,18,21,3,9:12,8:13,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team H,14,9,3,18:07,17:08,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,10,3,18:07,17:08,0:59
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,6,1,8:16,7:18,0:58
10/25/2024,2024-10-25 - Team H at Team G,Team G,14,5,1,8:13,7:15,0:58
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,7,1,5:44,4:46,0:58
10/25/2024,2024-10-25 - Team H at Team G,Team H,22,1,1,18:38,17:40,0:58
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,1,1,18:03,17:05,0:58
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,15,2,1:10,0:13,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,15,3,16:03,15:06,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team H,17,12,2,2:39,1:42,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,19,2,2:39,1:42,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,19,2,2:39,1:42,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team G,39,3,1,13:08,12:11,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team H,14,10,3,8:38,7:41,0:57
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,16,2,1:10,0:14,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,14,2,11:09,10:13,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,15,2,4:16,3:20,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team H,10,12,3,18:07,17:11,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team H,28,17,3,4:46,3:50,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team H,25,14,3,4:46,3:50,0:56
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,13,3,8:52,7:57,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,4,6,1,12:11,11:16,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,54,4,1,12:11,11:16,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,23,4,1,12:11,11:16,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,55,7,1,6:02,5:07,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,21,10,2,16:26,15:31,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,83,9,2,16:26,15:31,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,51,11,2,16:26,15:31,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,25,12,2,16:26,15:31,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team G,48,19,3,15:06,14:11,0:55
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,13,3,16:00,15:06,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,5,1,8:06,7:12,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,37,22,3,7:41,6:47,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,41,20,3,7:41,6:47,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team G,4,3,1,16:27,15:33,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,11,3,1,9:45,8:51,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team G,90,4,2,15:31,14:37,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,10,8,2,12:47,11:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,14,2,12:47,11:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,26,18,3,6:47,5:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,13,16,3,6:47,5:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,19,16,3,6:47,5:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,3,25,3,6:47,5:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,2,25,3,6:47,5:53,0:54
10/25/2024,2024-10-25 - Team H at Team G,Team H,5,11,2,11:53,10:59,0:54
